,,,,MW,,,Invest $,
,HedgeType,Plant,WDPEAK,WEPEAK,OFFPEAK,WDPEAK,WEPEAK,OFFPEAK
0,OBL,S/N,200.0,200.0,200.0,208625.0,64000.0,(22770.0)
1,OPT,Bosque345,84.0,151.0,          -,20859.0,9838.0,          -
2,OPT,Brazos Valley,239.0,239.0,          -,85186.0,23853.0,          -
3,OPT,Channel345,70.0,          -,,4054.0,          -,
4,OPT,Corpus Christi,18.0,120.0,          -,60816.0,138456.0,          -
5,OPT,Freestone2,12.0,19.0,          -,1665.0,612.0,          -
6,OPT,HBN/LZN,22.0,25.0,25.0,3612.0,1580.0,580.0
7,OPT,Hidalgo,77.0,50.0,          -,418267.0,96832.0,          -
8,OPT,Magic Valley,108.0,118.0,          -,651145.0,242690.0,          -
9,OPT,Pasadena2,75.0,15.0,          -,21954.0,952.0,          -
10,Grand Total,,905.0,937.0,225.0,1476183.0,578813.0,(22190.0)
